word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_phase,cue_color,box_color,show_cue,show_nocue
CHESTNUT,N,Y,8,5,2,600,old,manmade,uncued,uncued2,n/a,cyan,0,1
NOZZLE,Y,Y,6,4,2,555,old,manmade,uncued,uncued2,n/a,cyan,0,1
LEMON,N,Y,5,18,2,608,old,manmade,uncued,uncued2,n/a,cyan,0,1
BOOT,Y,Y,4,13,1,595,old,manmade,uncued,uncued2,n/a,cyan,0,1
CROWN,y,y,5,19,1,586,old,manmade,uncued,uncued2,n/a,cyan,0,1
STEM,N,Y,4,29,1,556,old,manmade,uncued,uncued2,n/a,cyan,0,1
BRACELET,Y,Y,8,1,2,602,old,manmade,uncued,uncued2,n/a,cyan,0,1
FORK,Y,Y,4,14,1,592,old,manmade,uncued,uncued2,n/a,cyan,0,1
BEEHIVE,n,y,7,1,2,611,old,manmade,uncued,uncued2,n/a,cyan,0,1
CROW,N,Y,4,2,1,590,old,manmade,uncued,uncued2,n/a,cyan,0,1
TANK,Y,N,4,12,1,581,old,manmade,uncued,uncued2,n/a,cyan,0,1
LOCK,Y,Y,4,23,1,565,old,manmade,uncued,uncued2,n/a,cyan,0,1
TRIANGLE,N,Y,8,4,3,523,old,manmade,uncued,uncued2,n/a,cyan,0,1
MOUSE,N,Y,5,10,1,624,old,manmade,uncued,uncued2,n/a,cyan,0,1
COUCH,Y,N,5,12,1,578,old,manmade,uncued,uncued2,n/a,cyan,0,1
PALM,N,Y,4,22,1,596,old,manmade,uncued,uncued2,n/a,cyan,0,1
IODINE,n,y,6,18,3,576,old,manmade,uncued,uncued2,n/a,cyan,0,1
FLOOD,N,N,5,19,1,553,old,manmade,uncued,uncued2,n/a,cyan,0,1
SUNBURN,N,N,7,5,2,563,old,manmade,uncued,uncued2,n/a,cyan,0,1
COSTUME,Y,N,7,10,2,544,old,manmade,uncued,uncued2,n/a,cyan,0,1
WAND,y,y,4,1,1,570,old,manmade,uncued,uncued2,n/a,cyan,0,1
DRILL,Y,Y,5,33,1,516,old,manmade,uncued,uncued2,n/a,cyan,0,1
MAGNET,Y,Y,6,3,2,550,old,manmade,uncued,uncued2,n/a,cyan,0,1
MAMMAL,n,n,6,1,2,549,old,manmade,uncued,uncued2,n/a,cyan,0,1
POTATO,N,Y,6,15,3,629,old,manmade,uncued,uncued2,n/a,cyan,0,1
SPONGE,Y,Y,6,7,1,597,old,shoebox,uncued,uncued2,n/a,red,0,1
TRASH,Y,Y,5,2,1,588,old,shoebox,uncued,uncued2,n/a,red,0,1
SODIUM,n,y,6,12,2,511,old,shoebox,uncued,uncued2,n/a,red,0,1
BANDAGE,Y,Y,7,4,2,639,old,shoebox,uncued,uncued2,n/a,red,0,1
COTTAGE,y,n,7,19,2,593,old,shoebox,uncued,uncued2,n/a,red,0,1
SINK,y,n,4,23,1,590,old,shoebox,uncued,uncued2,n/a,red,0,1
MINERAL,N,Y,7,12,3,527,old,shoebox,uncued,uncued2,n/a,red,0,1
CAVE,N,N,4,9,1,592,old,shoebox,uncued,uncued2,n/a,red,0,1
CASH,Y,Y,4,36,1,547,old,shoebox,uncued,uncued2,n/a,red,0,1
TENT,Y,N,4,20,1,608,old,shoebox,uncued,uncued2,n/a,red,0,1
ONION,N,Y,5,15,2,632,old,shoebox,uncued,uncued2,n/a,red,0,1
GLACIER,n,n,7,1,2,590,old,shoebox,uncued,uncued2,n/a,red,0,1
ORGAN,N,Y,5,12,2,596,old,shoebox,uncued,uncued2,n/a,red,0,1
STEW,Y,Y,4,5,1,603,old,shoebox,uncued,uncued2,n/a,red,0,1
RABBIT,N,Y,6,11,2,635,old,shoebox,uncued,uncued2,n/a,red,0,1
BASKET,y,n,6,17,2,606,old,shoebox,uncued,uncued2,n/a,red,0,1
BISCUIT,Y,Y,7,2,2,574,old,shoebox,uncued,uncued2,n/a,red,0,1
SHELL,N,Y,5,22,1,597,old,shoebox,uncued,uncued2,n/a,red,0,1
MOTH,n,y,4,1,1,550,old,shoebox,uncued,uncued2,n/a,red,0,1
JAIL,Y,N,4,21,1,590,old,shoebox,uncued,uncued2,n/a,red,0,1
VINEGAR,y,y,7,9,3,645,old,shoebox,uncued,uncued2,n/a,red,0,1
TOOL,Y,Y,4,40,1,570,old,shoebox,uncued,uncued2,n/a,red,0,1
SHOWER,Y,N,6,15,1,588,old,shoebox,uncued,uncued2,n/a,red,0,1
COCKTAIL,Y,Y,8,25,2,576,old,shoebox,uncued,uncued2,n/a,red,0,1
ENVELOPE,Y,Y,8,21,3,579,old,shoebox,uncued,uncued2,n/a,red,0,1
